# Symbol	Company
AAV.TO	Advantage Energy Ltd.
GWO.TO	Great-West Lifeco Inc.
H.TO	Hydro One Limited
HBM.TO	Hudbay Minerals Inc.
HR-UN.TO	H&R Real Estate Investment Trust
HWX.TO	Headwater Exploration Inc.
IAG.TO	iA Financial Corporation Inc.
IFC.TO	Intact Financial Corporation
IFP.TO	Interfor Corporation
IGM.TO	IGM Financial Inc.
IIP-UN.TO	InterRent Real Estate Investment Trust
IMG.TO	Iamgold Corporation
IMO.TO	Imperial Oil Limited
INE.TO	Innergex Renewable Energy Inc.
IPCO.TO	International Petroleum Corporation
IVN.TO	Ivanhoe Mines Ltd.
JWEL.TO	Jamieson Wellness Inc.
K.TO	Kinross Gold Corporation
KEL.TO	Kelt Exploration Ltd.
KEY.TO	Keyera Corp.
KMP-UN.TO	Killam Apartment Real Estate Investment Trust
KNT.TO	K92 Mining Inc.
KXS.TO	Kinaxis Inc.
L.TO	Loblaw Companies Limited
LB.TO	Laurentian Bank of Canada
LIF.TO	Labrador Iron Ore Royalty Corporation
LNR.TO	Linamar Corporation
LSPD.TO	Lightspeed Commerce Inc.
LUG.TO	Lundin Gold Inc.
LUN.TO	Lundin Mining Corporation
MAG.TO	MAG Silver Corp.
MATR.TO	Mattr Corp.
MDA.TO	MDA Space Ltd.
MEG.TO	MEG Energy Corp.
MFC.TO	Manulife Financial Corporation
MFI.TO	Maple Leaf Foods Inc.
MG.TO	Magna International Inc.
MRU.TO	Metro Inc.
MTL.TO	Mullen Group Ltd.
MTY.TO	MTY Food Group Inc.
MX.TO	Methanex Corporation
NA.TO	National Bank of Canada
NFI.TO	NFI Group Inc.
NG.TO	NovaGold Resources Inc.
NGD.TO	New Gold Inc.
NPI.TO	Northland Power Inc.
NTR.TO	Nutrien Ltd.
NVA.TO	NuVista Energy Ltd.
NVEI.TO	Nuvei Corporation
NWC.TO	North West Company Inc.
NWH-UN.TO	NorthWest Healthcare Properties Real Estate Investment Trust
NXE.TO	NexGen Energy Ltd.
OGC.TO	OceanaGold Corporation
OLA.TO	Orla Mining Ltd.
ONEX.TO	Onex Corporation
OR.TO	Osisko Gold Royalties Ltd.
OSK.TO	Osisko Mining Inc.
OTEX.TO	Open Text Corporation
PAAS.TO	Pan American Silver Corp.
PBH.TO	Premium Brands Holdings Corporation
PD.TO	Precision Drilling Corporation
PET.TO	Pet Valu Holdings Ltd.
PEY.TO	Peyto Exploration & Development Corp.
PKI.TO	Parkland Corporation
PMZ-UN.TO	Primaris Real Estate Investment Trust
POU.TO	Paramount Resources Ltd.
POW.TO	Power Corporation of Canada
PPL.TO	Pembina Pipeline Corporation
PRMW.TO	Primo Water Corporation
PSI.TO	Pason Systems Inc.
PSK.TO	PrairieSky Royalty Ltd.
PXT.TO	Parex Resources Inc.
QBR-B.TO	Quebecor Inc.
QSR.TO	Restaurant Brands International Inc.
RCH.TO	Richelieu Hardware Ltd.
RCI-B.TO	Rogers Communications Inc.
REI-UN.TO	RioCan Real Estate Investment Trust
RUS.TO	Russel Metals Inc.
RY.TO	Royal Bank of Canada
SAP.TO	Saputo Inc.
SEA.TO	Seabridge Gold Inc.
SES.TO	Secure Energy Services Inc.
SHOP.TO	Shopify Inc.
SIA.TO	Sienna Senior Living Inc.
SII.TO	Sprott Inc.
SIL.TO	SilverCrest Metals Inc.
SJ.TO	Stella-Jones Inc.
SLF.TO	Sun Life Financial Inc.
SOBO.TO	South Bow Corporation
SPB.TO	Superior Plus Corp.
SRU-UN.TO	SmartCentres Real Estate Investment Trust
SSL.TO	Sandstorm Gold Ltd.
SSRM.TO	SSR Mining Inc.
STLC.TO	Stelco Holdings Inc.
STN.TO	Stantec Inc.
SU.TO	Suncor Energy Inc.
SVI.TO	StorageVault Canada Inc.
T.TO	Telus Corporation
TA.TO	TransAlta Corporation
TCL-A.TO	Transcontinental Inc.
TD.TO	Toronto-Dominion Bank
TECK-B.TO	Teck Resources Limited
TFII.TO	TFI International Inc.
TFPM.TO	Triple Flag Precious Metals Corp.
TIH.TO	Toromont Industries Ltd.
TLRY.TO	Tilray Brands Inc.
TOU.TO	Tourmaline Oil Corp.
TOY.TO	Spin Master Corp.
TPZ.TO	Topaz Energy Corp.
TRI.TO	Thomson Reuters Corporation
TRP.TO	TC Energy Corporation
TSU.TO	Trisura Group Ltd.
TVE.TO	Tamarack Valley Energy Ltd.
TXG.TO	Torex Gold Resources Inc.
VET.TO	Vermilion Energy Inc.
VRN.TO	Veren Inc.
WCN.TO	Waste Connections Inc.
WCP.TO	Whitecap Resources Inc.
WDO.TO	Wesdome Gold Mines Ltd.
WFG.TO	West Fraser Timber Co. Ltd.
WN.TO	George Weston Limited
WPK.TO	Winpak Ltd.
WPM.TO	Wheaton Precious Metals Corp.
WSP.TO	WSP Global Inc.
X.TO	TMX Group Limited
